Item Number,Product Line,Category,SubClass,Item Description,Price,Cost,Tangible?,Serial?,Tax?
1101615501,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID MISC COLOR,5,29.99,True,False,True
1101615502,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID BLACK,5,29.99,True,False,True
1101615503,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID GRAY,5,29.99,True,False,True
1101615504,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID RED,5,29.99,True,False,True
1101615505,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID BLUE,5,29.99,True,False,True
1101615506,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID GREEN,5,29.99,True,False,True
1101615507,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID WHITE,5,29.99,True,False,True
1101615508,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID PINK,5,29.99,True,False,True
1101615509,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID PURPLE,5,29.99,True,False,True
1101615510,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID GOLD,5,29.99,True,False,True
1101615511,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID SILVER,5,29.99,True,False,True
1101615512,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID ROSE GOLD,5,29.99,True,False,True
1101615513,ACCESSORY,PROTECTIVE,ARMOR BOX,SAMSUNG GALAXY S9 ARMOR BOX - SOLID ORANGE,5,29.99,True,False,True
1111615501,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID MISC COLOR,4,19.99,True,False,True
1112615501,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING MISC COLOR,4,19.99,True,False,True
1113615501,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER MISC COLOR,4,19.99,True,False,True
1111615502,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID BLACK,4,19.99,True,False,True
1112615502,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING BLACK,4,19.99,True,False,True
1113615502,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER BLACK,4,19.99,True,False,True
1111615503,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID GRAY,4,19.99,True,False,True
1112615503,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING GRAY,4,19.99,True,False,True
1113615503,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER GRAY,4,19.99,True,False,True
1111615504,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID RED,4,19.99,True,False,True
1112615504,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING RED,4,19.99,True,False,True
1113615504,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER RED,4,19.99,True,False,True
1111615505,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID BLUE,4,19.99,True,False,True
1112615505,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING BLUE,4,19.99,True,False,True
1113615505,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER BLUE,4,19.99,True,False,True
1111615506,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID GREEN,4,19.99,True,False,True
1112615506,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING GREEN,4,19.99,True,False,True
1113615506,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER GREEN,4,19.99,True,False,True
1111615507,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID WHITE,4,19.99,True,False,True
1112615507,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING WHITE,4,19.99,True,False,True
1113615507,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER WHITE,4,19.99,True,False,True
1111615508,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID PINK,4,19.99,True,False,True
1112615508,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING PINK,4,19.99,True,False,True
1113615508,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER PINK,4,19.99,True,False,True
1111615509,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID PURPLE,4,19.99,True,False,True
1112615509,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING PURPLE,4,19.99,True,False,True
1113615509,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER PURPLE,4,19.99,True,False,True
1111615510,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID GOLD,4,19.99,True,False,True
1112615510,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING GOLD,4,19.99,True,False,True
1113615510,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER GOLD,4,19.99,True,False,True
1111615511,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID SILVER,4,19.99,True,False,True
1112615511,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING SILVER,4,19.99,True,False,True
1113615511,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER SILVER,4,19.99,True,False,True
1111615512,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID ROSE GOLD,4,19.99,True,False,True
1112615512,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING ROSE GOLD,4,19.99,True,False,True
1113615512,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER ROSE GOLD,4,19.99,True,False,True
1111615513,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - SOLID ORANGE,4,19.99,True,False,True
1112615513,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - BLING ORANGE,4,19.99,True,False,True
1113615513,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - GLITTER ORANGE,4,19.99,True,False,True
1114615501,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN MISC DESIGN,4,19.99,True,False,True
1114615502,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN SEASHELL,4,19.99,True,False,True
1114615503,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN CAMO,4,19.99,True,False,True
1114615504,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN BUTTERFLIES,4,19.99,True,False,True
1114615505,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN FLOWERS,4,19.99,True,False,True
1114615506,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN FEATHERS,4,19.99,True,False,True
1114615507,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN MARBLE OR STONE,4,19.99,True,False,True
1114615508,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN HEARTS OR KISSES,4,19.99,True,False,True
1114615509,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN CANDY OR FOOD,4,19.99,True,False,True
1114615510,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN ANIMALS,4,19.99,True,False,True
1114615511,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN SHAPES,4,19.99,True,False,True
1114615512,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN SPORTS,4,19.99,True,False,True
1114615513,ACCESSORY,PROTECTIVE,SILICONE,SAMSUNG GALAXY S9 SILICONE - DESIGN PLAID,4,19.99,True,False,True
1121615501,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - SOLID MISC COLOR,5,24.99,True,False,True
1122615501,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - BLING MISC COLOR,5,24.99,True,False,True
1123615501,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - GLITTER MISC COLOR,5,24.99,True,False,True
1121615502,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - SOLID BLACK,5,24.99,True,False,True
1122615502,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - BLING BLACK,5,24.99,True,False,True
1123615502,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - GLITTER BLACK,5,24.99,True,False,True
1121615503,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - SOLID GRAY,5,24.99,True,False,True
1122615503,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - BLING GRAY,5,24.99,True,False,True
1123615503,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - GLITTER GRAY,5,24.99,True,False,True
1121615504,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - SOLID RED,5,24.99,True,False,True
1122615504,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - BLING RED,5,24.99,True,False,True
1123615504,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - GLITTER RED,5,24.99,True,False,True
1121615505,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - SOLID BLUE,5,24.99,True,False,True
1122615505,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - BLING BLUE,5,24.99,True,False,True
1123615505,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - GLITTER BLUE,5,24.99,True,False,True
1121615506,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - SOLID GREEN,5,24.99,True,False,True
1122615506,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - BLING GREEN,5,24.99,True,False,True
1123615506,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - GLITTER GREEN,5,24.99,True,False,True
1121615507,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - SOLID WHITE,5,24.99,True,False,True
1122615507,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - BLING WHITE,5,24.99,True,False,True
1123615507,ACCESSORY,PROTECTIVE,WALLET,SAMSUNG GALAXY S9 WALLET - GLITTER WHITE,5,24.99,True,False,True
